Rank,AllPos,AllNeg,TopPos,TopNeg,PropAllPos,PropTopPos,Movie,Release,Rev_10M,year,AllFresh
45,273,5,39,2,0.982,0.9512,Up (Disney),29-May-09,29.3,2009,1
46,245,39,34,8,0.8627,0.8095,Inception (Warner Bros.),16-Jul-10,29.26,2010,1
47,186,53,30,13,0.7782,0.6977,Harry Potter and the Order of the Phoenix (Warner Bros.),11-Jul-07,29.2,2007,1
48,161,50,30,10,0.763,0.75,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (Disney)",9-Dec-05,29.17,2005,1
49,69,2,16,2,0.9718,0.8889,The Empire Strikes Back (Fox),21-May-80,29.03,1980,1
50,195,27,34,5,0.8784,0.8718,Harry Potter and the Goblet of Fire (Warner Bros.),18-Nov-05,29,2005,1
51,22,19,5,2,0.5366,0.7143,Home Alone (Fox),16-Nov-90,28.58,1990,0
52,173,63,31,13,0.7331,0.7045,The Matrix Reloaded (Warner Bros.),15-May-03,28.16,2003,1
53,47,145,11,27,0.2448,0.2895,The Twilight Saga: Breaking Dawn - Part 1 (Lionsgate / Summit),18-Nov-11,28.13,2011,0
54,60,97,15,24,0.3822,0.3846,Meet the Fockers (Universal),16-Dec-04,27.93,2004,0
55,172,47,28,8,0.7854,0.7778,The Hangover (Warner Bros.),5-Jun-09,27.73,2009,1
56,83,91,15,18,0.477,0.4545,The Twilight Saga: Breaking Dawn - Part 2 (Lionsgate / Summit),16-Nov-12,27.68,2012,0
57,257,23,41,4,0.9179,0.9111,Skyfall (Sony / Columbia),8-Nov-12,27.19,2012,1
58,156,20,33,5,0.8864,0.8684,Shrek (DreamWorks),16-May-01,26.77,2001,1
59,202,74,31,10,0.7319,0.7561,The Amazing Spider-Man (Sony / Columbia),3-Jul-12,26.2,2012,1
60,169,35,27,12,0.8284,0.6923,Harry Potter and the Chamber of Secrets (Warner Bros.),15-Nov-02,26.2,2002,1
61,223,7,42,2,0.9696,0.9545,The Incredibles (Disney),5-Nov-04,26.14,2004,1
62,69,60,16,15,0.5349,0.5161,How the Grinch Stole Christmas (Universal),17-Nov-00,26,2000,0
63,52,0,5,0,1,1,Jaws (Universal),20-Jun-75,26,1975,1
64,279,16,42,3,0.9458,0.9333,Star Trek (Paramount),8-May-09,25.77,2009,1
65,147,64,27,18,0.6967,0.6,I Am Legend (Warner Bros.),14-Dec-07,25.64,2007,1
66,126,64,16,10,0.6632,0.6154,The Blind Side (Warner Bros.),20-Nov-09,25.6,2009,1
67,160,8,30,4,0.9524,0.8824,"Monsters, Inc. (Disney)",2-Nov-01,25.59,2001,1
68,79,150,9,31,0.345,0.225,The Hangover Part II (Warner Bros.),26-May-11,25.45,2011,0
69,40,16,4,3,0.7143,0.5714,Batman (1989) (Warner Bros.),23-Jun-89,25.21,1989,1
70,153,36,29,4,0.8095,0.8788,Despicable Me (Universal),9-Jul-10,25.15,2010,1
71,57,73,13,17,0.4385,0.4333,Night at the Museum (Fox),22-Dec-06,25.09,2006,0
72,65,7,16,3,0.9028,0.8421,Men in Black (Sony / Columbia),2-Jul-97,25.07,1997,1
73,209,22,39,4,0.9048,0.907,Harry Potter and the Prisoner of Azkaban (Warner Bros.),4-Jun-04,24.95,2004,1
74,55,3,4,2,0.9483,0.6667,Raiders of the Lost Ark (Paramount),12-Jun-81,24.82,1981,1
75,161,0,38,0,1,1,Toy Story 2 (Disney),19-Nov-99,24.59,1999,1
76,143,51,30,11,0.7371,0.7317,Cars (Disney),9-Jun-06,24.41,2006,1
77,89,94,21,17,0.4863,0.5526,Bruce Almighty (Universal),23-May-03,24.28,2003,0
78,30,21,8,3,0.5882,0.7273,Twister (1996) (Warner Bros.),10-May-96,24.17,1996,0
79,98,31,18,8,0.7597,0.6923,My Big Fat Greek Wedding (IFC Films),19-Apr-02,24.14,2002,1
80,84,168,11,28,0.3333,0.2821,Pirates of the Caribbean: On Stranger Tides (Disney),20-May-11,24.11,2011,0
81,49,3,3,2,0.9423,0.6,Ghostbusters (Columbia),8-Jun-84,23.86,1984,1
82,108,80,14,19,0.5745,0.4242,Shrek Forever After (Paramount / DreamWorks),21-May-10,23.84,2010,0
83,165,47,28,12,0.7783,0.7,Brave (Disney),22-Jun-12,23.72,2012,1
84,34,7,4,2,0.8293,0.6667,Beverly Hills Cop (Paramount),5-Dec-84,23.48,1984,1
85,130,99,23,21,0.5677,0.5227,X-Men: The Last Stand (Fox),26-May-06,23.44,2006,0
86,186,65,29,14,0.741,0.6744,War of the Worlds (Paramount),29-Jun-05,23.43,2005,1
87,138,16,31,4,0.8961,0.8857,Cast Away (Fox),22-Dec-00,23.36,2000,1
88,33,30,7,7,0.5238,0.5,The Lost World: Jurassic Park (Universal),23-May-97,22.91,1997,0
89,166,59,23,17,0.7378,0.575,Signs (Disney),2-Aug-02,22.8,2002,1
90,87,128,14,27,0.4047,0.3415,Hancock (Sony / Columbia),2-Jul-08,22.79,2008,0
91,221,15,40,1,0.9364,0.9756,The Bourne Ultimatum (Universal),3-Aug-07,22.75,2007,1
92,66,61,18,16,0.5197,0.5294,Rush Hour 2 (New Line),3-Aug-01,22.62,2001,0
93,226,9,41,1,0.9617,0.9762,WALL-E (Disney),27-Jun-08,22.38,2008,1
94,43,82,9,18,0.344,0.3333,National Treasure: Book of Secrets (Disney),21-Dec-07,22,2007,0
95,17,65,3,17,0.2073,0.15,Alvin and the Chipmunks: The Squeakquel (Fox),23-Dec-09,21.96,2009,0
96,35,14,7,1,0.7143,0.875,Mrs. Doubtfire (Fox),24-Nov-93,21.92,1993,1
97,85,7,23,1,0.9239,0.9583,Beauty and the Beast (1991) (Disney),13-Nov-91,21.9,1991,1
98,135,60,23,14,0.6923,0.6216,Ted (2012) (Universal),29-Jun-12,21.87,2012,1
99,216,42,35,9,0.8372,0.7955,King Kong (2005) (Universal),14-Dec-05,21.81,2005,1
100,36,8,5,0,0.8182,1,Ghost (Paramount),13-Jul-90,21.76,1990,1
101,169,3,28,2,0.9826,0.9333,How to Train Your Dragon (Paramount / DreamWorks),26-Mar-10,21.76,2010,1
102,55,165,4,40,0.25,0.0909,The Da Vinci Code (Sony / Columbia),19-May-06,21.75,2006,0
103,48,4,10,0,0.9231,1,Aladdin (Disney),11-Nov-92,21.74,1992,1
104,28,80,6,20,0.2593,0.2308,Alvin and the Chipmunks (Fox),14-Dec-07,21.73,2007,0
105,95,27,15,11,0.7787,0.5769,Madagascar 3: Europe's Most Wanted (Paramount / DreamWorks),8-Jun-12,21.64,2012,1
106,88,7,18,2,0.9263,0.9,Saving Private Ryan (DreamWorks),24-Jul-98,21.63,1998,1
107,147,20,28,8,0.8802,0.7778,Kung Fu Panda (Paramount / DreamWorks),6-Jun-08,21.54,2008,1
108,81,60,19,12,0.5745,0.6129,Mission: Impossible II (Paramount),24-May-00,21.54,2000,0
